"","fecha_inicial","fecha_final","año_inicial","mes_inicial","dia_inicial","año_final","mes_final","dia_final","pais","ciudad","categoria_principal","categoria","proyecto_featured","descripcion_largo","descripcion_full_largo","titulo_largo","cant_creaciones_dueño","cant_faqs","cant_imagenes","cant_videos","cant_tiers","tier_promedio","tier_max","tier_min","duracion","moneda","objetivo_monto","objetivo_ratio","monto_obtenido","monto_obtenido_porcentaje","estado","exito","cant_actualizaciones","cant_backers","cant_backers_tiers","cant_comentarios","backers_promedio_por_tier","aporte_promedio_por_backer","title","cotizacion","moneda_igual_pais","dia_semana_inicial","dia_semana_final","weekend_inicial","weekend_final","primera_quincena_inicial","primera_quincena_final","id"
"3907",2019-03-23,2019-04-25,2019,3,23,2019,4,25,"United Kingdom","London","Crafts","Candles","0",119,998,33,1,0,1,0,2,52.86596,79.29894,26.43298,33,"GBP",1321.649,52.9320024000303,207.498893,0.157,"Funding Unsuccessful","fail",0,6,5,0,2.5,26.17,"100% Pure Beeswax Scented Candles",1.321649,1,"sábado","jueves",1,0,0,0,3924
"3908",2019-03-21,2019-04-25,2019,3,21,2019,4,25,"Spain","Valencia","Technology","Technology","0",107,2503,59,1,3,9,1,14,1543.81785714286,9669.175,5.68775,35,"EUR",9669.175,314.262000607143,12319.6665,1.2741,"Funding Successful","success",5,146,140,18,10,74.18,"🚄 Hyperloop UPV: The First Spanish Hyperloop Pod Test Track",1.13755,1,"jueves","jueves",0,0,0,0,3925
"3909",2019-02-24,2019-04-25,2019,2,24,2019,4,25,"Italy","Rome","Fashion","Apparel","0",109,2528,52,1,0,11,1,11,649.759116363636,5670.7,5.6707,60,"EUR",28353.5,535.947308166667,1678.5272,0.0592,"Funding Unsuccessful","fail",0,18,16,1,1.45,82.22,"Sophia Fit - The first italian shirt for busty women",1.13414,1,"domingo","jueves",1,0,0,0,3926
"3910",2019-04-13,2019-04-25,2019,4,13,2019,4,25,"United Kingdom","Brighton","Comics","Comics","0",109,1456,25,1,0,1,0,1,6.54025,6.54025,6.54025,12,"GBP",196.2075,21.38743503125,300.8515,1.5333,"Funding Successful","success",2,17,15,0,7.5,13.53,"The Day That We First Met",1.30805,1,"sábado","jueves",1,0,1,0,3927
"3911",2019-03-16,2019-04-25,2019,3,16,2019,4,25,"Italy","Galatina","Design","Product Design","0",98,6583,59,1,10,52,8,10,2080.0122415,2977.928625,5.672245,40,"EUR",113444.9,3217.4363340025,5195.77642,0.0458,"Funding Unsuccessful","fail",0,18,14,0,1.4,254.44,"TRIS BIKE: three wheels for smart and matchless performance",1.134449,1,"sábado","jueves",1,0,0,0,3928
"3912",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"Italy","Urbino","Technology","Web","0",81,3124,36,1,0,2,0,3,17.66495,33.8265,5.63775,30,"EUR",789.285,29.665276725,826.49415,1.0471,"Funding Successful","success",1,26,18,0,6,28.19,"HELP ME to complete my PhD research!",1.12755,1,"martes","jueves",0,0,0,0,3929
"3913",2019-03-11,2019-04-25,2019,3,11,2019,4,25,"France","Poissy","Fashion","Ready-to-wear","0",113,674,30,1,0,5,0,4,26.74071875,39.407375,16.888875,45,"EUR",2814.8125,70.4281725347222,2869.982825,1.0196,"Funding Successful","success",0,13,11,1,2.75,196.08,"Nollym - Le style sans limites",1.125925,1,"lunes","jueves",0,0,1,0,3930
"3914",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United States","San Francisco","Fashion","Footwear","0",56,120,22,1,0,68,1,4,50,100,10,30,"USD",2000,66.6666666666667,51,0.0255,"Funding Unsuccessful","fail",1,3,2,0,0.17,17,"IN-OX SHOE AND SLIPPER",1,1,"martes","jueves",0,0,0,0,3931
"3915",2019-04-04,2019-04-25,2019,4,4,2019,4,25,"Hong Kong","Hong Kong","Technology","Gadgets","0",118,1533,19,1,8,39,3,3,53.93055,79.621875,12.102525,21,"HKD",1273.95,7.72832667857143,2223.04275,1.745,"Funding Successful","success",5,25,24,28,6,698,"PAQ Mask (Relaunch)",0.127395,1,"jueves","jueves",0,0,1,0,3932
"3916",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United States","Seattle","Games","Tabletop Games","0",91,5078,14,1,0,34,1,8,111.375,300,1,30,"USD",8000,266.666666666667,9367,1.1709,"Funding Successful","success",8,91,83,5,9.22,102.93,"Castles & Cats",1,1,"martes","jueves",0,0,0,0,3933
